index,open,close,open_interest,limit_up,total_turnover,high,basis_spread,volume,low,trading_date,limit_down
2010-01-04 09:15:00,4452.413,4486.278,1413776.0,4701.124,10976881320.0,4490.075,,242094.0,4452.413,2010-01-04,4167.119
2010-01-04 09:30:00,4486.463,4486.088,1412952.0,4701.547,6114840420.0,4493.034,,134534.0,4480.671,2010-01-04,4168.409
2010-01-04 09:45:00,4485.818,4488.176,1421626.0,4702.488,3240083900.0,4489.522,,71452.0,4481.592,2010-01-04,4168.791
2010-01-04 10:00:00,4488.981,4490.295,1434808.0,4703.747,3838243720.0,4495.918,,84494.0,4484.561,2010-01-04,4169.616
2010-01-04 10:15:00,4490.102,4508.409,1456628.0,4704.992,8255849640.0,4510.942,,180932.0,4488.523,2010-01-04,4170.683
2010-01-04 10:45:00,4508.988,4505.838,1457698.0,4705.908,6545114700.0,4513.559,,143814.0,4502.654,2010-01-04,4171.939
2010-01-04 11:00:00,4505.812,4503.003,1459632.0,4706.011,2724068100.0,4508.315,,59740.0,4502.242,2010-01-04,4172.492
2010-01-04 11:15:00,4503.279,4510.498,1470096.0,4707.123,4928087080.0,4512.778,,108028.0,4496.625,2010-01-04,4172.634
2010-01-04 11:30:00,4510.475,4509.158,1465922.0,4707.398,4398552480.0,4516.897,,96266.0,4508.118,2010-01-04,4173.604
2010-01-04 13:45:00,4508.309,4527.782,1489386.0,4708.405,6528421680.0,4527.922,,142618.0,4505.021,2010-01-04,4173.711
2010-01-04 14:00:00,4527.991,4529.948,1497734.0,4708.916,5511340980.0,4532.205,,120092.0,4524.241,2010-01-04,4174.864
2010-01-04 14:15:00,4529.931,4539.257,1505350.0,4709.611,4015447740.0,4540.325,,87686.0,4529.192,2010-01-04,4175.273
2010-01-04 14:30:00,4539.257,4532.46,1507302.0,4709.84,3709008820.0,4540.004,,80810.0,4528.501,2010-01-04,4175.867
2010-01-04 14:45:00,4532.752,4524.485,1499472.0,4710.055,5586287580.0,4536.785,,121566.0,4524.423,2010-01-04,4175.963
2010-01-04 15:00:00,4524.009,4510.11,1440366.0,4709.655,11274696880.0,4526.362,,246370.0,4507.317,2010-01-04,4173.923
2010-01-05 09:15:00,4519.087,4520.011,1450788.0,4733.165,10057868940.0,4532.226,,219240.0,4513.139,2010-01-05,4282.185
2010-01-05 09:30:00,4519.348,4516.91,1458824.0,4733.426,7193910820.0,4520.084,,157308.0,4505.575,2010-01-05,4282.667
2010-01-05 09:45:00,4517.716,4514.689,1458824.0,4733.845,2670040780.0,4519.735,,58544.0,4513.891,2010-01-05,4283.014
2010-01-05 10:00:00,4514.644,4516.652,1465776.0,4734.338,3008599040.0,4518.198,,65820.0,4509.512,2010-01-05,4283.377
2010-01-05 10:15:00,4516.051,4524.419,1471392.0,4734.753,4302305940.0,4528.268,,94014.0,4515.032,2010-01-05,4283.801
2010-01-05 10:45:00,4524.393,4529.772,1476022.0,4734.971,4254302540.0,4533.05,,93006.0,4520.059,2010-01-05,4284.164
2010-01-05 11:00:00,4529.911,4527.519,1475884.0,4735.0,2148785120.0,4533.047,,46846.0,4526.841,2010-01-05,4284.331
2010-01-05 11:15:00,4527.448,4531.784,1471120.0,4734.937,2569629600.0,4532.523,,56036.0,4524.411,2010-01-05,4284.194
2010-01-05 11:30:00,4530.96,4527.599,1463572.0,4734.696,3330270120.0,4531.639,,72674.0,4521.626,2010-01-05,4283.894
2010-01-05 13:45:00,4528.084,4529.8,1470192.0,4734.76,3821648920.0,4530.669,,83452.0,4521.956,2010-01-05,4283.773
2010-01-05 14:00:00,4529.829,4529.131,1475976.0,4735.601,6475049720.0,4535.086,,140992.0,4527.752,2010-01-05,4284.222
2010-01-05 14:15:00,4528.346,4524.267,1467368.0,4735.348,3205748940.0,4529.866,,69976.0,4522.798,2010-01-05,4284.618
2010-01-05 14:30:00,4524.267,4521.539,1468812.0,4735.368,3154477940.0,4526.823,,68922.0,4517.978,2010-01-05,4284.555
2010-01-05 14:45:00,4520.864,4529.852,1474810.0,4736.251,2943097740.0,4529.852,,64356.0,4520.801,2010-01-05,4284.773
2010-01-05 15:00:00,4530.001,4526.0,1461296.0,4736.249,4162202280.0,4530.272,,90782.0,4524.069,2010-01-05,4284.994
2010-01-06 09:15:00,4524.925,4534.361,1486012.0,4751.367,8064842840.0,4540.853,,175690.0,4520.394,2010-01-06,4298.099
2010-01-06 09:30:00,4535.528,4559.949,1515466.0,4753.026,13070213520.0,4565.92,,283132.0,4534.437,2010-01-06,4298.955
2010-01-06 09:45:00,4560.64,4567.855,1535632.0,4754.125,6133010840.0,4569.742,,132572.0,4559.106,2010-01-06,4300.355
